city,confirmed,suspected,death,cure
湖北省,
北京市，
广东省，
上海市，
浙江省，
天津市，
河南省，
重庆市，
四川省，
云南省，
广西省，
山东省，
吉林省，
安徽省，
海南省
贵州省，
江西省
宁夏
黑龙江省
湖南省
香港
台湾
